,Entity,Code,Date,Cases,Deaths,Disease,Average Temperature (C),Average Temperature (F),Most Repeated Weather Phrase,Average Wind Speed (mph),Average Wind Speed (kph),Average Wind Degree,Most Repeated Wind Direction,Average Pressure,Average Dew Point,Average Heat Index,Average Visibility,Most Repeated Cloud Cover,Average UV Index,Symptoms
0,India,IND,2010-01-01,22,,Cholera,12.67806268,54.82051282,Fair,5.121212121,8.241771515,239.0909091,W,29.18076923,47.23076923,54.82051282,0.635384615,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
1,India,IND,2010-01-02,14,,Cholera,16.00529101,60.80952381,Fair,3.516129032,5.658647097,144.6666667,CALM,29.17880952,45.0952381,60.80952381,1.005,CLR,-22.33333333,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
2,India,IND,2010-01-03,22,,Cholera,25.85858586,78.54545455,Fair,5.666666667,9.119593333,185.3846154,E,29.03704545,54.86363636,78.65909091,1.975227273,CLR,-66.72727273,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
3,India,IND,2010-01-04,20,,Cholera,30.21164021,86.38095238,Fair,7.413793103,11.93131379,252.7586207,CALM,28.84785714,45.45238095,86.45238095,1.542142857,CLR,-4.619047619,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
4,India,IND,2010-01-05,20,,Cholera,30.98765432,87.77777778,Mostly Cloudy,7.545454545,12.14320182,149.7727273,ESE,28.94533333,56.86666667,87.86666667,1.044444444,BKN,-107.5333333,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
5,India,IND,2010-01-06,12,,Cholera,37.18518519,98.93333333,Fair,10.28947368,16.55926158,264.7368421,W,28.76355556,48.77777778,98.93333333,1.0,CLR,-16.22222222,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
6,India,IND,2010-01-07,18,,Cholera,32.04491726,89.68085106,Partly Cloudy,9.617021277,15.47705702,105.7446809,E,28.69276596,73.08510638,97.78723404,0.994680851,SCT,-87.29787234,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
7,India,IND,2010-01-08,18,,Cholera,27.08037825,80.74468085,Mostly Cloudy,5.255813953,8.458391628,85.81395349,E,28.78021277,79,87.34042553,1.039787234,BKN,-181.0851064,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
8,India,IND,2010-01-09,21,,Cholera,29.1005291,84.38095238,Mostly Cloudy,5.146341463,8.282213171,122.6829268,ESE,28.81833333,80.78571429,98.14285714,1.357142857,BKN,-108.4761905,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
9,India,IND,2010-01-10,13,,Cholera,27.88888889,82.2,Fair,5.538461538,8.913267692,266.9230769,CALM,28.99,70.35555556,84.84444444,1.288888889,CLR,-7.044444444,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
10,India,IND,2010-01-11,12,,Cholera,22.06349206,71.71428571,Fair,5.3125,8.54961875,263.3333333,CALM,29.08071429,58.57142857,71.88095238,0.831190476,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
11,India,IND,2010-01-12,13,,Cholera,15.75396825,60.35714286,Fair,4.315789474,6.945572632,258.9473684,CALM,29.10142857,45.0952381,60.35714286,1.343333333,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
12,India,IND,2010-01-13,17,,Cholera,10.88588589,51.59459459,Mostly Cloudy,5.0,8.0467,203.7142857,W,29.22486486,48,51.59459459,0.381351351,BKN,-37.02702703,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
13,India,IND,2010-01-14,14,,Cholera,9.84496124,49.72093023,Cloudy,6.697674419,10.77883535,280.4651163,W,29.34767442,47.6744186,49.72093023,0.425348837,OVC,-16.6744186,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
14,India,IND,2010-01-15,14,,Cholera,10.90439276,51.62790698,Partly Cloudy,6.255813953,10.06773163,269.0697674,W,29.33860465,48,51.62790698,0.364418605,SCT,-26.90697674,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
15,India,IND,2010-01-16,15,,Cholera,11.30116959,52.34210526,Fair,6.041666667,9.723095833,262.5,W,29.34947368,45.89473684,52.34210526,0.608421053,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
16,India,IND,2010-01-17,18,,Cholera,10.59343434,51.06818182,Fair,5.139534884,8.27125907,102.0930233,E,29.34681818,49.45454545,51.06818182,0.237272727,CLR,-35.65909091,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
17,India,IND,2010-01-18,20,,Cholera,11.84343434,53.31818182,Fair,3.863636364,6.217904545,185.952381,NE,29.30045455,47.25,53.31818182,0.520454545,CLR,-0.431818182,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
18,India,IND,2010-01-19,13,,Cholera,11.81818182,53.27272727,Fair,4.35483871,7.008416129,254.8387097,CALM,29.24840909,47.18181818,53.27272727,0.420227273,OVC,-7.136363636,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
19,India,IND,2010-01-20,17,,Cholera,10.73170732,51.31707317,Cloudy,3.703703704,5.960518519,153.3333333,CALM,29.27170732,47.70731707,51.31707317,0.39195122,OVC,-12.73170732,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
20,India,IND,2010-01-21,14,,Cholera,10.69105691,51.24390244,Cloudy,4.047619048,6.513995238,239.5238095,CALM,29.24487805,47.34146341,51.24390244,0.264146341,OVC,-20.31707317,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
21,India,IND,2010-01-22,19,,Cholera,12.42547425,54.36585366,Fair,3.457142857,5.563718286,120.5714286,E,29.20780488,49.02439024,54.36585366,0.256097561,OVC,-40.19512195,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
22,India,IND,2010-01-23,22,,Cholera,13.65853659,56.58536585,Fair,4.277777778,6.884398889,139.1666667,E,29.20463415,50.3902439,56.58536585,0.374146341,CLR,-8.390243902,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
23,India,IND,2010-01-24,20,,Cholera,15.46070461,59.82926829,Fair,5.375,8.6502025,120.25,ESE,29.15170732,53.29268293,59.82926829,0.674390244,CLR,-1.707317073,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
24,India,IND,2010-01-25,19,,Cholera,17.33333333,63.2,Fair,4.90625,7.895824375,185,CALM,29.2,53.575,63.2,0.929,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
25,India,IND,2010-01-26,22,,Cholera,13.94586895,57.1025641,Fair,4.88,7.8535792,271.2,CALM,29.23307692,54.87179487,57.1025641,0.209487179,CLR,-35.82051282,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
26,India,IND,2010-01-27,16,,Cholera,14.97150997,58.94871795,Cloudy,4.096774194,6.593102581,211.2903226,W,29.2125641,52.48717949,58.94871795,0.507948718,OVC,-16.05128205,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
27,India,IND,2010-01-28,20,,Cholera,19.32748538,66.78947368,Fair,4.457142857,7.173058286,170.8571429,ESE,29.18315789,53.5,67.05263158,1.303684211,FEW,-39.44736842,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
28,India,IND,2010-01-29,14,,Cholera,19.59459459,67.27027027,Fair,6.387096774,10.27901032,182.5806452,W,29.17918919,52.64864865,67.37837838,1.209459459,CLR,-9.459459459,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
29,India,IND,2010-01-30,19,,Cholera,16.41534392,61.54761905,Fair,7.619047619,12.2616381,276.6666667,W,29.20658537,51.16666667,61.54761905,0.69047619,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
30,India,IND,2010-01-31,23,,Cholera,15.71059432,60.27906977,Fair,5.906976744,9.506333953,246.2790698,WNW,29.1872093,44.76744186,60.27906977,1.581162791,CLR,-11.23255814,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
31,India,IND,2010-02-01,21,,Cholera,10.25839793,50.46511628,Cloudy,4.976744186,8.009273488,126.2790698,ESE,29.26488372,49.34883721,50.46511628,0.143255814,OVC,-49.25581395,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
32,India,IND,2010-02-02,19,,Cholera,16.14035088,61.05263158,Fair,6.363636364,10.24125455,303.6363636,CALM,29.17157895,47.73684211,61.05263158,1.224736842,CLR,-10.39473684,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
33,India,IND,2010-02-03,19,,Cholera,24.74254743,76.53658537,Fair,9.074074074,14.60327037,297.037037,CALM,29.0295122,56.24390244,76.68292683,1.960731707,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
34,India,IND,2010-02-04,17,,Cholera,30.59431525,87.06976744,Fair,5.575,8.9720705,205.5,W,28.88488372,42.58139535,87.1627907,1.627906977,CLR,-11.69767442,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
35,India,IND,2010-02-05,17,,Cholera,30.45679012,86.82222222,Partly Cloudy,4.864864865,7.829221622,172.972973,E,28.904,59.22222222,87.26666667,1.0,SCT,-92.64444444,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
36,India,IND,2010-02-06,16,,Cholera,38.40425532,101.1276596,Fair,10.68085106,17.18912085,264.4680851,W,28.81191489,51.5106383,101.1276596,0.980638298,FEW,-41.10638298,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
37,India,IND,2010-02-07,18,,Cholera,32.82608696,91.08695652,Partly Cloudy,6.377777778,10.26401289,99.77777778,SE,28.73869565,75.5,100.7333333,1.0,SCT,-88.04347826,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
38,India,IND,2010-02-08,21,,Cholera,29.13279133,84.43902439,Mostly Cloudy,9.804878049,15.77938244,90.73170732,E,28.74073171,78.46341463,94.85365854,1.512195122,BKN,-142.7560976,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
39,India,IND,2010-02-09,16,,Cholera,28.90243902,84.02439024,Partly Cloudy,4.736842105,7.623189474,135.2631579,ESE,28.84268293,79.95121951,95.7804878,1.170731707,SCT,-78.87804878,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
40,India,IND,2010-02-10,14,,Cholera,28.03703704,82.46666667,Fair,4.12,6.6304808,247.0833333,CALM,28.98377778,72.57777778,86.28888889,1.287111111,CLR,-23.44444444,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
41,India,IND,2010-02-11,14,,Cholera,22.04607046,71.68292683,Fair,4.409090909,7.095726364,280.5263158,CALM,29.10268293,57.48780488,71.80487805,0.884634146,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
42,India,IND,2010-02-12,14,,Cholera,16.43939394,61.59090909,Fair,5.846153846,9.408449231,285.3846154,CALM,29.15090909,46.13636364,61.59090909,1.01,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
43,India,IND,2010-02-13,12,,Cholera,17.63565891,63.74418605,Partly Cloudy,6.285714286,10.11585143,294.4444444,CALM,29.1672093,54.88372093,63.74418605,0.78,SCT,-33.90697674,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
44,India,IND,2010-02-14,19,,Cholera,16.93766938,62.48780488,Fair,6.351351351,10.22148378,294.3243243,NW,29.11878049,49.70731707,62.48780488,1.000731707,CLR,-6.341463415,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
45,India,IND,2010-02-15,14,,Cholera,16.33074935,61.39534884,Mostly Cloudy,4.785714286,7.701841429,107.5,CALM,29.10571429,51.06976744,61.39534884,0.780930233,BKN,-62.97674419,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
46,India,IND,2010-02-16,12,,Cholera,18.3459596,65.02272727,Fair,4.96,7.9823264,220.4,CALM,29.13659091,47.93181818,65.13636364,1.058181818,CLR,-0.659090909,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
47,India,IND,2010-02-17,19,,Cholera,15.71815718,60.29268293,Fair,8.027027027,12.91821568,280.2702703,NW,29.1795122,43.8974359,60.29268293,1.317073171,CLR,-6.926829268,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
48,India,IND,2010-02-18,12,,Cholera,15.80103359,60.44186047,Fair,7.511627907,12.08876326,284.6511628,WNW,29.14,42.09302326,60.44186047,1.426511628,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
49,India,IND,2010-02-19,20,,Cholera,17.05026455,62.69047619,Fair,6.052631579,9.740742105,286.0526316,WNW,29.17333333,44.19047619,62.69047619,1.658095238,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
50,India,IND,2010-02-20,17,,Cholera,17.99707602,64.39473684,Fair,6.848484848,11.02154061,283.6363636,W,29.17315789,44.18421053,64.42105263,1.562894737,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
51,India,IND,2010-02-21,11,,Cholera,18.88888889,66,Fair,6.75,10.863045,275,W,29.12465116,48.11627907,66.06976744,1.520465116,CLR,0.0,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
52,India,IND,2010-02-22,18,,Cholera,21.35501355,70.43902439,Fair,5.5,8.85137,123.8235294,E,29.09487805,53.70731707,70.48780488,1.102195122,CLR,-34.12195122,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
53,India,IND,2010-02-23,17,,Cholera,21.58730159,70.85714286,Fair,6.55,10.541177,152.025,W,29.02404762,55.04761905,70.95238095,1.642380952,FEW,-15.0952381,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
54,India,IND,2010-02-24,15,,Cholera,21.57181572,70.82926829,Partly Cloudy,6.833333333,10.99715667,283.7931034,CALM,29.01439024,57.48780488,71.04878049,1.228292683,SCT,-35.43902439,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
55,India,IND,2010-02-25,21,,Cholera,20.88888889,69.6,Fair,6.685714286,10.75958743,298.5714286,NW,29.0635,55.25,69.7,1.04475,CLR,-6.65,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
56,India,IND,2010-02-26,20,,Cholera,21.79166667,71.225,Fair,7.454545455,11.99689818,264.2424242,W,29.09425,53.225,71.275,1.37825,CLR,-0.175,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
57,India,IND,2010-02-27,15,,Cholera,23.51449275,74.32608696,Fair,7.25,11.667715,278.9285714,W,29.05847826,54.89130435,74.47826087,1.391304348,FEW,-21.93478261,"[""Profuse watery diarrhea"", ""Nausea"", ""Vomiting"", ""Muscle cramps"", ""Dehydration"", ""Shock""]"
