,Entity,Code,Date,Cases,Deaths,Disease,Average Temperature (C),Average Temperature (F),Most Repeated Weather Phrase,Average Wind Speed (mph),Average Wind Speed (kph),Average Wind Degree,Most Repeated Wind Direction,Average Pressure,Average Dew Point,Average Heat Index,Average Visibility,Most Repeated Cloud Cover,Average UV Index
0,India,IND,2020-01-05,0.0,0.0,Covid-19,31.5162037,88.72916667,Haze,5.5,8.85137,166.3888889,CALM,28.885,65.79166667,91.14583333,1.541666667,CLR,2.6875
1,India,IND,2020-01-06,0.0,0.0,Covid-19,28.55791962,83.40425532,Haze,1.723404255,2.773543404,141.1111111,CALM,28.92595745,67.65957447,85.59574468,1.914893617,SCT,2.765957447
2,India,IND,2020-01-07,0.0,0.0,Covid-19,34.08564815,93.35416667,Haze,6.5625,10.56129375,114.1666667,ESE,28.706875,76.5,106.5833333,1.145833333,BKN,1.708333333
3,India,IND,2020-01-08,0.0,0.0,Covid-19,28.88888889,84,Fog,3.5,5.63269,152.5,ESE,28.7775,80.5,97.5,1.0,BKN,0.0
4,India,IND,2020-01-09,0.0,0.0,Covid-19,29.60648148,85.29166667,Haze,5.1875,8.34845125,163.125,S,28.85041667,74.70833333,92.79166667,2.0625,SCT,1.729166667
5,India,IND,2020-01-10,0.0,0.0,Covid-19,29.31712963,84.77083333,Haze,4.270833333,6.873222917,291.4814815,CALM,28.853125,64.66666667,85.75,1.0,CLR,2.083333333
6,India,IND,2020-01-11,0.0,0.0,Covid-19,21.58564815,70.85416667,Smoke,3.0625,4.92860375,275.5,CALM,29.121875,48.14583333,70.35416667,0.997083333,CLR,1.3125
7,India,IND,2020-01-12,0.0,0.0,Covid-19,17.08333333,62.75,Fog,1.375,2.2128425,278.5714286,CALM,29.21041667,49.625,62.875,0.893333333,CLR,0.916666667
8,India,IND,2020-01-13,0.0,0.0,Covid-19,15.24822695,59.44680851,Fog,6.744680851,10.85448468,167.804878,SE,29.03108696,52.10638298,59.44680851,0.833617021,BKN,0.510638298
9,India,IND,2020-01-14,0.0,0.0,Covid-19,13.20330969,55.76595745,Fog,6.085106383,9.793005106,306.8888889,NW,29.1412766,52.61702128,55.76595745,0.866808511,SCT,0.70212766
10,India,IND,2020-01-15,0.0,0.0,Covid-19,13.21759259,55.79166667,Fog,4.541666667,7.309085833,301.5384615,WNW,29.1725,51.3125,55.79166667,0.858958333,SCT,0.770833333
11,India,IND,2020-01-16,0.0,0.0,Covid-19,11.84027778,53.3125,Fog,4.895833333,7.879060417,276.5909091,NNW,29.136875,50.45833333,53.3125,0.581041667,BKN,0.458333333
12,India,IND,2020-01-17,0.0,0.0,Covid-19,12.90509259,55.22916667,Fog,5.270833333,8.482562917,275.952381,W,29.171875,52.5625,55.22916667,0.58125,BKN,0.541666667
13,India,IND,2020-01-18,0.0,0.0,Covid-19,12.59259259,54.66666667,Fog,2.458333333,3.956294167,290.9090909,CALM,29.225,50.875,54.66666667,0.516875,OVC,0.8125
14,India,IND,2020-01-19,0.0,0.0,Covid-19,10.15046296,50.27083333,Fog,7.104166667,11.43301958,273.5,W,29.24770833,48.25,50.27083333,0.519583333,CLR,0.895833333
15,India,IND,2020-01-20,0.0,0.0,Covid-19,10.86805556,51.5625,Fog,5.0625,8.14728375,269.7368421,W,29.221875,50.45833333,51.5625,0.4325,SCT,0.6875
16,India,IND,2020-01-21,0.0,0.0,Covid-19,13.61702128,56.5106383,Fog,3.020833333,4.861547917,110.3333333,CALM,29.22979167,52.57446809,56.5106383,0.506041667,SCT,0.583333333
17,India,IND,2020-01-22,0.0,0.0,Covid-19,11.40046296,52.52083333,Fog,5.0,8.0467,262.5641026,W,29.2875,50.875,52.52083333,0.43125,FEW,0.875
18,India,IND,2020-01-23,0.0,0.0,Covid-19,12.75462963,54.95833333,Haze,8.479166667,13.64586208,276.0416667,W,29.24166667,44.14583333,54.95833333,1.119583333,CLR,1.0625
19,India,IND,2020-01-24,0.0,0.0,Covid-19,12.77777778,55,Haze,7.333333333,11.80182667,266.2790698,W,29.171875,42.1875,55,1.230833333,CLR,0.708333333
20,India,IND,2020-01-25,0.0,0.0,Covid-19,13.64583333,56.5625,Haze,2.8125,4.52626875,286.6666667,CALM,29.17395833,44.39583333,56.5625,1.037708333,CLR,1.020833333
21,India,IND,2020-01-26,0.0,0.0,Covid-19,14.38657407,57.89583333,Fog,3.416666667,5.498578333,277.5,CALM,29.125625,47.3125,57.89583333,0.776875,CLR,1.0625
22,India,IND,2020-01-27,0.0,0.0,Covid-19,15.9375,60.6875,Smoke,4.4375,7.14144625,66.4516129,CALM,29.04479167,49.89583333,60.6875,0.845833333,BKN,0.645833333
23,India,IND,2020-01-28,0.0,0.0,Covid-19,15.75231481,60.35416667,Fog,7.770833333,12.50591292,114.6666667,E,29.0075,56.35416667,60.35416667,0.860208333,BKN,0.583333333
24,India,IND,2020-01-29,0.0,0.0,Covid-19,14.94212963,58.89583333,Fog,4.479166667,7.208502083,220.5714286,CALM,29.17791667,52.29166667,58.89583333,0.90375,SCT,0.916666667
25,India,IND,2020-01-30,0.0,0.0,Covid-19,14.05092593,57.29166667,Fog,6.854166667,11.03068458,287.5,WNW,29.209375,51.25,57.29166667,0.82125,CLR,1.145833333
26,India,IND,2020-01-31,0.0,0.0,Covid-19,12.37588652,54.27659574,Fog,5.127659574,8.25214766,237.0731707,W,29.14446809,47.21276596,54.27659574,0.993191489,CLR,1.106382979
27,India,IND,2020-02-01,0.0,0.0,Covid-19,13.97163121,57.14893617,Fog,1.70212766,2.739302128,65,CALM,29.29170213,47.53191489,57.14893617,0.630425532,FEW,0.744680851
28,India,IND,2020-02-02,2.0,0.0,Covid-19,12.01388889,53.625,Fog,5.4375,8.75078625,269.5,W,29.26604167,46.54166667,53.625,0.733333333,FEW,0.979166667
29,India,IND,2020-02-03,0.0,0.0,Covid-19,21.34259259,70.41666667,Haze,2.3125,3.72159875,275,CALM,29.0725,60.0625,70.58333333,0.886875,SCT,1.541666667
30,India,IND,2020-02-04,0.0,0.0,Covid-19,24.39814815,75.91666667,Haze,8.416666667,13.54527833,297.5,WNW,29.01916667,54.75,75.5,1.59875,FEW,2.1875
31,India,IND,2020-02-05,0.0,0.0,Covid-19,27.64444444,81.76,Haze,11.04,17.7671136,105.2,ESE,28.8848,66.88,83.96,1.08,FEW,2.16
32,India,IND,2020-02-06,0.0,0.0,Covid-19,30.83333333,87.5,Haze,4.565217391,7.346986957,219.6666667,CALM,28.87369565,66.23913043,89.97826087,1.847826087,SCT,1.97826087
33,India,IND,2020-02-07,0.0,0.0,Covid-19,35.59027778,96.0625,Haze,5.25,8.449035,165.4545455,ESE,28.635625,76.625,110.5,1.0,SCT,2.291666667
