,Entity,Code,Date,Cases,Deaths,Disease,Average Temperature (C),Average Temperature (F),Most Repeated Weather Phrase,Average Wind Speed (mph),Average Wind Speed (kph),Average Wind Degree,Most Repeated Wind Direction,Average Pressure,Average Dew Point,Average Heat Index,Average Visibility,Most Repeated Cloud Cover,Average UV Index,Symptoms
0,India,IND,2009-01-01,110495,,Dengue,10.70707071,51.27272727,Fair,6.09375,9.806915625,279.0625,W,29.17886364,48.13636364,51.27272727,0.306136364,CLR,-31.5,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
1,India,IND,2009-01-02,68321,,Dengue,15.28455285,59.51219512,Fair,6.945945946,11.17838865,267.5675676,WSW,29.13341463,42.92682927,59.51219512,1.262682927,FEW,-16.65853659,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
2,India,IND,2009-01-03,98978,,Dengue,20.17615176,68.31707317,Fair,9.65,15.530131,275,WNW,29.00609756,45.12195122,68.34146341,1.664634146,CLR,-0.658536585,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
3,India,IND,2009-01-04,106943,,Dengue,26.25661376,79.26190476,Partly Cloudy,9.128205128,14.69038564,293.0769231,NW,28.94071429,54.38095238,79.45238095,1.963571429,SCT,-56.28571429,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
4,India,IND,2009-01-05,108872,,Dengue,35.65656566,96.18181818,Fair,7.75862069,12.48625862,245.862069,WSW,28.83227273,46.88636364,96.18181818,1.669318182,CLR,-19.04545455,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
5,India,IND,2009-01-06,90645,,Dengue,30.71759259,87.29166667,Partly Cloudy,6.69047619,10.76725095,218.25,W,28.77708333,70.04166667,90.4375,1.337083333,SCT,-89.375,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
6,India,IND,2009-01-07,64624,,Dengue,30.48941799,86.88095238,Mostly Cloudy,6.026315789,9.698391053,163.7837838,SW,28.70428571,73.04761905,94.38095238,1.214285714,BKN,-109.5,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
7,India,IND,2009-01-08,81217,,Dengue,32.78959811,91.0212766,Partly Cloudy,9.452380952,15.21209476,271.6666667,W,28.71382979,74.25531915,101.2978723,2.680851064,SCT,-39.61702128,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
8,India,IND,2009-01-09,85469,,Dengue,30.31565657,86.56818182,Partly Cloudy,5.52173913,8.886355652,173.0434783,CALM,28.88,78.15909091,98.95454545,1.75,SCT,-85.81818182,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
9,India,IND,2009-01-10,85844,,Dengue,30.93434343,87.68181818,Fair,5.666666667,9.119593333,113.0769231,E,28.90659091,74.65909091,96.40909091,1.568181818,CLR,-44.45454545,"[""Sudden, high fever"", ""Severe headaches"", ""Pain behind the eyes"", ""Severe joint and muscle pain"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Skin rash""]"
