,Entity,Code,Day,Cases,Deaths,Disease
0,India,IND,2009-01-01,486.0,,Influenza
1,India,IND,2009-02-01,521.9215686321259,,Influenza
2,India,IND,2009-03-01,272.9850745201111,,Influenza
3,India,IND,2009-04-01,0.0,,Influenza
4,India,IND,2009-05-01,0.0,,Influenza
5,India,IND,2009-06-01,2940.025444666545,,Influenza
6,India,IND,2009-07-01,5559.855501174927,,Influenza
7,India,IND,2009-08-01,44844.34140396118,,Influenza
8,India,IND,2009-09-01,26654.31959438324,,Influenza
9,India,IND,2009-10-01,17333.725101470947,,Influenza
10,India,IND,2009-11-01,14883.85044784546,,Influenza
11,India,IND,2009-12-01,10607.898086547852,,Influenza
12,India,IND,2010-01-01,13632.633358955383,,Influenza
13,India,IND,2010-02-01,13698.74436378479,,Influenza
14,India,IND,2010-03-01,11821.596855163574,,Influenza
15,India,IND,2010-04-01,6859.182286262512,,Influenza
16,India,IND,2010-05-01,5638.9403263092045,,Influenza
17,India,IND,2010-06-01,5298.3833594322205,,Influenza
18,India,IND,2010-07-01,16527.36763858795,,Influenza
19,India,IND,2010-08-01,44919.43072128296,,Influenza
20,India,IND,2010-09-01,18376.482412815094,,Influenza
21,India,IND,2010-10-01,5595.319688737392,,Influenza
22,India,IND,2010-11-01,3031.9092042446136,,Influenza
23,India,IND,2010-12-01,550.3255813121796,,Influenza
24,India,IND,2011-01-01,4681.478179359436,,Influenza
25,India,IND,2011-02-01,3062.3051114082336,,Influenza
26,India,IND,2011-03-01,2665.578641653061,,Influenza
27,India,IND,2011-04-01,2109.7864641348524,,Influenza
28,India,IND,2011-05-01,2609.3618495225905,,Influenza
29,India,IND,2011-06-01,4055.10484790802,,Influenza
30,India,IND,2011-07-01,7561.1856298446655,,Influenza
31,India,IND,2011-08-01,5674.664489746094,,Influenza
32,India,IND,2011-09-01,4001.3783128261566,,Influenza
33,India,IND,2011-10-01,5161.20291595459,,Influenza
34,India,IND,2011-11-01,4802.802423477173,,Influenza
35,India,IND,2011-12-01,4363.76202249527,,Influenza
