,Entity,Code,Date,Cases,Deaths,Disease,Average Temperature (C),Average Temperature (F),Most Repeated Weather Phrase,Average Wind Speed (mph),Average Wind Speed (kph),Average Wind Degree,Most Repeated Wind Direction,Average Pressure,Average Dew Point,Average Heat Index,Average Visibility,Most Repeated Cloud Cover,Average UV Index,Symptoms
0,India,IND,2009-01-01,,828,Pnuemonia,10.70707071,51.27272727,Fair,6.09375,9.806915625,279.0625,W,29.17886364,48.13636364,51.27272727,0.306136364,CLR,-31.5,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
1,India,IND,2009-01-02,,739,Pnuemonia,15.28455285,59.51219512,Fair,6.945945946,11.17838865,267.5675676,WSW,29.13341463,42.92682927,59.51219512,1.262682927,FEW,-16.65853659,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
2,India,IND,2009-01-03,,625,Pnuemonia,20.17615176,68.31707317,Fair,9.65,15.530131,275,WNW,29.00609756,45.12195122,68.34146341,1.664634146,CLR,-0.658536585,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
3,India,IND,2009-01-04,,719,Pnuemonia,26.25661376,79.26190476,Partly Cloudy,9.128205128,14.69038564,293.0769231,NW,28.94071429,54.38095238,79.45238095,1.963571429,SCT,-56.28571429,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
4,India,IND,2009-01-05,,697,Pnuemonia,35.65656566,96.18181818,Fair,7.75862069,12.48625862,245.862069,WSW,28.83227273,46.88636364,96.18181818,1.669318182,CLR,-19.04545455,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
5,India,IND,2009-01-06,,652,Pnuemonia,30.71759259,87.29166667,Partly Cloudy,6.69047619,10.76725095,218.25,W,28.77708333,70.04166667,90.4375,1.337083333,SCT,-89.375,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
6,India,IND,2009-01-07,,911,Pnuemonia,30.48941799,86.88095238,Mostly Cloudy,6.026315789,9.698391053,163.7837838,SW,28.70428571,73.04761905,94.38095238,1.214285714,BKN,-109.5,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
7,India,IND,2009-01-08,,774,Pnuemonia,32.78959811,91.0212766,Partly Cloudy,9.452380952,15.21209476,271.6666667,W,28.71382979,74.25531915,101.2978723,2.680851064,SCT,-39.61702128,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
8,India,IND,2009-01-09,,930,Pnuemonia,30.31565657,86.56818182,Partly Cloudy,5.52173913,8.886355652,173.0434783,CALM,28.88,78.15909091,98.95454545,1.75,SCT,-85.81818182,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
9,India,IND,2009-01-10,,737,Pnuemonia,30.93434343,87.68181818,Fair,5.666666667,9.119593333,113.0769231,E,28.90659091,74.65909091,96.40909091,1.568181818,CLR,-44.45454545,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
10,India,IND,2009-01-11,,846,Pnuemonia,24.28030303,75.70454545,Fair,4.772727273,7.680940909,98.63636364,E,29.08272727,52.86363636,75.77272727,1.0,CLR,0.0,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
11,India,IND,2009-01-12,,771,Pnuemonia,16.58914729,61.86046512,Fair,4.133333333,6.651938667,266,CALM,29.20023256,48.18604651,61.86046512,0.60744186,FEW,-11.93023256,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
12,India,IND,2009-01-13,,566,Pnuemonia,12.64550265,54.76190476,Fair,5.210526316,8.385508421,285.2631579,CALM,29.355,47.64285714,54.76190476,0.412619048,CLR,-0.571428571,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
13,India,IND,2009-01-14,,583,Pnuemonia,14.37830688,57.88095238,Fair,5.864864865,9.438561622,260.2702703,W,29.33341463,46.42857143,57.88095238,0.713023256,CLR,0.0,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
14,India,IND,2009-01-15,,891,Pnuemonia,14.5410628,58.17391304,Partly Cloudy,4.972972973,8.003204324,268.3783784,W,29.31,48.23913043,58.17391304,0.677391304,SCT,-23.2173913,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
15,India,IND,2009-01-16,,528,Pnuemonia,17.04134367,62.6744186,Partly Cloudy,4.285714286,6.897171429,272.8571429,CALM,29.27395349,52.90697674,62.6744186,0.717209302,SCT,-27.97674419,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
16,India,IND,2009-01-17,,832,Pnuemonia,16.51162791,61.72093023,Mostly Cloudy,4.379310345,7.04779931,274.4827586,CALM,29.23162791,56.30232558,61.72093023,0.467209302,BKN,-36.93023256,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
17,India,IND,2009-01-18,,549,Pnuemonia,17.83068783,64.0952381,Fair,5.545454545,8.924521818,110.4545455,CALM,29.18380952,58.14285714,64.0952381,0.526428571,FEW,-33.19047619,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
18,India,IND,2009-01-19,,698,Pnuemonia,15.48941799,59.88095238,Fair,8.057142857,12.96668229,282.8571429,W,29.22357143,54.28571429,59.88095238,0.501428571,FEW,-30.88095238,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
19,India,IND,2009-01-20,,654,Pnuemonia,13.34795322,56.02631579,Fair,9.421052632,15.16167684,278.6842105,W,29.20868421,46.31578947,56.02631579,1.043421053,FEW,-14.73684211,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
20,India,IND,2009-01-21,,696,Pnuemonia,13.98611111,57.175,Partly Cloudy,9.625,15.4898975,283,W,29.1685,44.775,57.175,1.0205,SCT,-30.75,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
21,India,IND,2009-01-22,,833,Pnuemonia,15.04065041,59.07317073,Partly Cloudy,6.736842105,10.84186947,272.1052632,W,29.1595122,47.53658537,59.07317073,0.813658537,SCT,-28.14634146,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
22,India,IND,2009-01-23,,554,Pnuemonia,15.85365854,60.53658537,Partly Cloudy,8.780487805,14.13079024,277.0731707,W,29.12317073,48.7804878,60.53658537,0.785121951,SCT,-26.43902439,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
23,India,IND,2009-01-24,,522,Pnuemonia,16.54761905,61.78571429,Partly Cloudy,8.05,12.955187,264.25,W,29.06785714,50.47619048,61.78571429,0.848809524,SCT,-32.33333333,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
24,India,IND,2009-01-25,,676,Pnuemonia,17.11111111,62.8,Fair,6.833333333,10.99715667,105.2777778,E,29.04933333,54.24444444,62.8,0.532444444,SCT,-18.08888889,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
25,India,IND,2009-01-26,,789,Pnuemonia,17.79132791,64.02439024,Fair,5.5,8.85137,226.9230769,CALM,29.05243902,53.65853659,64.04878049,1.015853659,CLR,-0.87804878,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
26,India,IND,2009-01-27,,876,Pnuemonia,16.73280423,62.11904762,Fair,7.692307692,12.37953846,286.1538462,CALM,29.11,49.66666667,62.11904762,1.079047619,CLR,0.0,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
27,India,IND,2009-01-28,,865,Pnuemonia,15.66358025,60.19444444,Fair,8.363636364,13.45993455,280.6060606,WNW,29.1175,48.22222222,60.19444444,1.246388889,CLR,0.0,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
28,India,IND,2009-01-29,,572,Pnuemonia,15.1754386,59.31578947,Fair,5.611111111,9.030185556,274.4444444,CALM,29.14078947,47.63157895,59.31578947,0.953157895,CLR,-14.81578947,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
29,India,IND,2009-01-30,,883,Pnuemonia,16.70833333,62.075,Fair,7.444444444,11.98064222,269.2592593,CALM,29.15725,48.8,62.075,0.9315,CLR,-4.875,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
30,India,IND,2009-01-31,,1032,Pnuemonia,15.75880759,60.36585366,Fair,8.609756098,13.85602488,279.5121951,W,29.13414634,45.80487805,60.36585366,1.214878049,CLR,-4.56097561,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
31,India,IND,2009-02-01,,1979,Pnuemonia,11.07235142,51.93023256,Fair,5.0,8.0467,302.5,CALM,29.19348837,44.72093023,51.93023256,0.430465116,CLR,0.0,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
32,India,IND,2009-02-02,,2590,Pnuemonia,15.70460705,60.26829268,Fair,5.181818182,8.339307273,280.9090909,CALM,29.15317073,45.09756098,60.26829268,1.18,CLR,-6.268292683,"[""Cough"", ""Fever"", ""Chills"", ""Shortness of breath"", ""Chest pain"", ""Sweating"", ""Rapid heartbeat"", ""Fatigue"", ""Nausea"", ""Vomiting"", ""Diarrhea""]"
