Year,Month,Cases
1990,1,1535291
1990,2,1566531
1990,3,1556293
1990,4,1531569
1990,5,1356006
1990,6,1226669
1990,7,1194321
1990,8,1410511
1990,9,1149697
1990,10,1130464
1990,11,1447180
1990,12,1339044
1991,1,1695640
1991,2,1196049
1991,3,1983855
1991,4,1673577
1991,5,1246507
1991,6,1349690
1991,7,1360992
1991,8,919530
1991,9,1074984
1991,10,1294431
1991,11,1520834
1991,12,1515911
1992,1,1475699
1992,2,1551371
1992,3,1507724
1992,4,1399972
1992,5,1354704
1992,6,1306137
1992,7,1224199
1992,8,1302389
1992,9,1361712
1992,10,1317212
1992,11,1677631
1992,12,1754400
1993,1,1732699
1993,2,1843646
1993,3,1691190
1993,4,1477546
1993,5,1350323
1993,6,1194620
1993,7,1311590
1993,8,1004127
1993,9,1332797
1993,10,1456579
1993,11,1508734
1993,12,1739023
1994,1,1556242
1994,2,1848258
1994,3,1524586
1994,4,1555983
1994,5,1677543
1994,6,1347728
1994,7,1272366
1994,8,1187634
1994,9,1323830
1994,10,1331618
1994,11,1333077
1994,12,2096428
1995,1,1737918
1995,2,1378290
1995,3,1729837
1995,4,1752094
1995,5,1559030
1995,6,1449977
1995,7,1454643
1995,8,1291352
1995,9,1404332
1995,10,1580013
1995,11,1419427
1995,12,1705324
1996,1,1462562
1996,2,2008551
1996,3,1816552
1996,4,1566919
1996,5,1652383
1996,6,1717321
1996,7,1254085
1996,8,1228310
1996,9,1484728
1996,10,1496015
1996,11,1536424
1996,12,1675717
1997,1,1656176
1997,2,1975579
1997,3,1961648
1997,4,1727827
1997,5,1655541
1997,6,1459208
1997,7,1745517
1997,8,1239591
1997,9,1329443
1997,10,1339413
1997,11,1546428
1997,12,1754105
1998,1,1941711
1998,2,2010211
1998,3,1956788
1998,4,1943325
1998,5,1321585
1998,6,1694764
1998,7,1166284
1998,8,1274527
1998,9,1517877
1998,10,1707015
1998,11,1906927
1998,12,1463071
1999,1,1970986
1999,2,1781710
1999,3,1818743
1999,4,1891320
1999,5,1435000
1999,6,2021783
1999,7,1353005
1999,8,1444443
1999,9,1352967
1999,10,1643282
1999,11,1641207
1999,12,2060679
2000,1,2010113
2000,2,1853600
2000,3,1964280
2000,4,2016682
2000,5,1534475
2000,6,1697730
2000,7,1346574
2000,8,1463035
2000,9,1599309
2000,10,1417447
2000,11,2040396
2000,12,1951659
2001,1,1634570
2001,2,2031534
2001,3,2223359
2001,4,1995933
2001,5,1620530
2001,6,1468788
2001,7,1626362
2001,8,1352104
2001,9,1451844
2001,10,1839154
2001,11,1971641
2001,12,2162573
2002,1,1746578
2002,2,1912313
2002,3,2649244
2002,4,2050618
2002,5,1599407
2002,6,1742393
2002,7,1376495
2002,8,1568048
2002,9,1658626
2002,10,1485872
2002,11,1921178
2002,12,2193727
2003,1,1544144
2003,2,2238764
2003,3,2124266
2003,4,2070811
2003,5,1651401
2003,6,1748172
2003,7,1612099
2003,8,1627513
2003,9,1733219
2003,10,1654068
2003,11,2224947
2003,12,2229278
2004,1,1900282
2004,2,2276887
2004,3,2114574
2004,4,2034046
2004,5,2011869
2004,6,1893057
2004,7,1709466
2004,8,1709973
2004,9,1620625
2004,10,1634417
2004,11,1811867
2004,12,2303353
2005,1,1852793
2005,2,2492604
2005,3,2478070
2005,4,2047218
2005,5,1611200
2005,6,1914563
2005,7,1516206
2005,8,1389726
2005,9,1921803
2005,10,1944888
2005,11,2134367
2005,12,2255296
2006,1,2025231
2006,2,2449795
2006,3,2632146
2006,4,2103513
2006,5,1796464
2006,6,1847160
2006,7,1730023
2006,8,1737648
2006,9,1579875
2006,10,1807853
2006,11,1921483
2006,12,2442587
2007,1,2337014
2007,2,1976858
2007,3,2358777
2007,4,2553346
2007,5,1825489
2007,6,1661222
2007,7,1793697
2007,8,1748880
2007,9,1789949
2007,10,1769781
2007,11,2204499
2007,12,2558226
2008,1,2468558
2008,2,2403034
2008,3,2482543
2008,4,2206741
2008,5,2072286
2008,6,1905829
2008,7,1471614
2008,8,1895487
2008,9,1614997
2008,10,1916518
2008,11,2524225
2008,12,2095668
2009,1,2693801
2009,2,2275594
2009,3,2774682
2009,4,2427186
2009,5,1844085
2009,6,1587601
2009,7,1850946
2009,8,1718755
2009,9,1943472
2009,10,2276176
2009,11,1992517
2009,12,2115527
2010,1,2116786
2010,2,2611919
2010,3,2610704
2010,4,2450468
2010,5,2211080
2010,6,1747343
2010,7,2115343
2010,8,1789546
2010,9,2068310
2010,10,1940196
2010,11,1865713
2010,12,2361985
2011,1,2136560
2011,2,2449380
2011,3,2030768
2011,4,2350936
2011,5,1819375
2011,6,2348870
2011,7,1739418
2011,8,2006934
2011,9,2273678
2011,10,2065914
2011,11,2385348
2011,12,2579506
2012,1,2599001
2012,2,1980448
2012,3,2193276
2012,4,2478914
2012,5,2244660
2012,6,1829133
2012,7,1965305
2012,8,2067262
2012,9,2211446
2012,10,2196785
2012,11,2007920
2012,12,2621002
2013,1,2679260
2013,2,2203123
2013,3,2594325
2013,4,2568796
2013,5,2040171
2013,6,2206879
2013,7,1682848
2013,8,1459118
2013,9,2175690
2013,10,2303322
2013,11,2435482
2013,12,2210501
2014,1,2052105
2014,2,2570021
2014,3,2703938
2014,4,2713009
2014,5,2245740
2014,6,1932201
2014,7,1794884
2014,8,2147896
2014,9,2063462
2014,10,1668181
2014,11,2152976
2014,12,2680501
2015,1,2787452
2015,2,2423484
2015,3,2799220
2015,4,2443398
2015,5,2168127
2015,6,2036328
2015,7,2080415
2015,8,1552471
2015,9,1534321
2015,10,2036260
2015,11,2396742
2015,12,2679330
2016,1,2772993
2016,2,2849222
2016,3,2422452
2016,4,2692070
2016,5,2129484
2016,6,2193367
2016,7,1935524
2016,8,2061068
2016,9,1733528
2016,10,2239885
2016,11,1776778
2016,12,2508497
2017,1,2435627
2017,2,2744851
2017,3,2654944
2017,4,2400950
2017,5,1969675
2017,6,2372910
2017,7,2106441
2017,8,1653135
2017,9,2173065
2017,10,2102904
2017,11,2404072
2017,12,2671763
2018,1,2732673
2018,2,2434135
2018,3,2732118
2018,4,2807894
2018,5,2300038
2018,6,2012792
2018,7,1757303
2018,8,1967512
2018,9,2194116
2018,10,2061442
2018,11,2400303
2018,12,2496290
2019,1,2584710
2019,2,2808140
2019,3,2566651
2019,4,2506573
2019,5,2553883
2019,6,2056417
2019,7,1942438
2019,8,1768915
2019,9,2362691
2019,10,2109288
2019,11,2460589
2019,12,2271675
