Year,Month,Deaths
2000,1,74591.9476027492
2000,2,189340.5490102196
2000,3,145781.05523424002
2000,4,119226.4861307556
2000,5,31072.063224493057
2000,6,31067.259558317306
2000,7,11567.7054003243
2000,8,172504.2590343328
2000,9,119715.71856484754
2000,10,141016.96978269677
2000,11,4099.527507672223
2000,12,193163.45894935142
2001,1,72417.66703718742
2001,2,183821.4616393122
2001,3,141531.68348018738
2001,4,115751.15347052124
2001,5,30166.34370151291
2001,6,30161.6800573951
2001,7,11230.5183734616
2001,8,167475.93265395067
2001,9,116226.12526914683
2001,10,136906.4663481192
2001,11,3980.030386677501
2001,12,187532.9375825278
2002,1,70939.19254606316
2002,2,180068.57435263204
2002,3,138642.1816186613
2002,4,113387.98527240056
2002,5,29550.46954430938
2002,6,29545.901112853702
2002,7,11001.236823577663
2002,8,164056.7546489625
2002,9,113853.26007694995
2002,10,134111.39262582277
2002,11,3898.77433906718
2002,12,183704.27703869966
2003,1,68128.62717679726
2003,2,172934.3727779529
2003,3,133149.26718882957
2003,4,108895.62592547807
2003,5,28379.698869229407
2003,6,28375.31143610174
2003,7,10565.374867362656
2003,8,157556.93111472751
2003,9,109342.46684029847
2003,10,128797.98515373452
2003,11,3744.3073970752826
2003,12,176426.03125241247
2004,1,63745.95019537526
2004,2,161809.6000314868
2004,3,124583.84832478364
2004,4,101890.43041665571
2004,5,26554.04850567387
2004,6,26549.94331369758
2004,7,9885.710133900144
2004,8,147421.3807025921
2004,9,102308.52630206785
2004,10,120512.48186123531
2004,11,3503.4381689614543
2004,12,165076.64204357014
2005,1,62233.96474491533
2005,2,157971.65016576968
2005,3,121628.85329447902
2005,4,99473.6988774926
2005,5,25924.21500459133
2005,6,25920.207183358132
2005,7,9651.23171065741
2005,8,143924.70394076064
2005,9,99881.87797770188
2005,10,117654.05526920022
2005,11,3420.3403796615776
2005,12,161161.20145141205
2006,1,60989.52256727442
2006,2,154812.81904929513
2006,3,119196.73964595697
2006,4,97484.60390408876
2006,5,25405.829478196265
2006,6,25401.901798117553
2006,7,9458.243848544562
2006,8,141046.75822860035
2006,9,97884.62097749459
2006,10,115301.42243682954
2006,11,3351.9466038867995
2006,12,157938.59146171494
2007,1,60613.2198993551
2007,2,153857.63077458614
2007,3,118461.3010124346
2007,4,96883.12819176944
2007,5,25249.076629331066
2007,6,25245.173182865445
2007,7,9399.886900593168
2007,8,140176.50594282048
2007,9,97280.67717745136
2007,10,114590.01773891586
2007,11,3331.2652409793527
2007,12,156964.11730889787
2008,1,59524.05928075866
2008,2,151092.9587675804
2008,3,116332.66663028697
2008,4,95142.23259163274
2008,5,24795.37527562879
2008,6,24791.54197030027
2008,7,9230.980073858238
2008,8,137657.67044490637
2008,9,95532.63800863629
2008,10,112530.94655258507
2008,11,3271.4056440696613
2008,12,154143.6247597564
2009,1,55239.55610258904
2009,2,140217.38559832898
2009,3,107959.11674264465
2009,4,88293.95640142383
2009,5,23010.620246216997
2009,6,23007.06285971964
2009,7,8566.540115596676
2009,8,127749.16061464215
2009,9,88656.26068973861
2009,10,104431.04201024081
2009,11,3035.9319877286644
2009,12,143048.46663112982
2010,1,53579.674811739664
2010,2,136004.02416989472
2010,3,104715.07695121445
2010,4,85640.83069466375
2010,5,22319.179171516807
2010,6,22315.728680145116
2010,7,8309.126032855283
2010,8,123910.45414074964
2010,9,85992.24818098014
2010,10,101293.01656168765
2010,11,2944.7059341129693
2010,12,138750.0346704397
2011,1,53238.582846761325
2011,2,135138.21302019907
2011,3,104048.45343239604
2011,4,85095.63516433143
2011,5,22177.093712673217
2011,6,22173.66518737143
2011,7,8256.229554185758
2011,8,123121.63150543634
2011,9,85444.81550230086
2011,10,100648.17811914378
2011,11,2925.9597297569494
2011,12,137866.74222544368
2012,1,50673.98428967358
2012,2,128628.36156309738
2012,3,99036.25176827594
2012,4,80996.42493957643
2012,5,21108.783109822878
2012,6,21105.519742768578
2012,7,7858.512085586047
2012,8,117190.64045306388
2012,9,81328.78463088258
2012,10,95799.77384961562
2012,11,2785.0109722997813
2012,12,131225.4525953372
2013,1,49017.357312203734
2013,2,124423.2607244685
2013,3,95798.57214377765
2013,4,78348.50087135081
2013,5,20418.697653715997
2013,6,20415.54097221199
2013,7,7601.602681160005
2013,8,113359.46003173126
2013,9,78669.99510499541
2013,10,92667.90071945946
2013,11,2693.9637737434696
2013,12,126935.44801118164
2014,1,45812.37279068451
2014,2,116287.88487792954
2014,3,89534.8125749196
2014,4,73225.70873513752
2014,5,19083.627516969806
2014,6,19080.67723409507
2014,7,7104.57427596299
2014,8,105947.4873206071
