Year,Month,Cases
2000,1,28
2000,2,30
2000,3,28
2000,4,26
2000,5,23
2000,6,22
2000,7,26
2000,8,30
2000,9,27
2000,10,27
2000,11,28
2000,12,26
2001,1,31
2001,2,29
2001,3,27
2001,4,27
2001,5,23
2001,6,25
2001,7,23
2001,8,22
2001,9,23
2001,10,32
2001,11,28
2001,12,31
2002,1,28
2002,2,31
2002,3,30
2002,4,26
2002,5,27
2002,6,23
2002,7,24
2002,8,26
2002,9,25
2002,10,27
2002,11,28
2002,12,25
2003,1,29
2003,2,33
2003,3,28
2003,4,23
2003,5,25
2003,6,20
2003,7,25
2003,8,27
2003,9,26
2003,10,26
2003,11,24
2003,12,31
2004,1,34
2004,2,28
2004,3,27
2004,4,23
2004,5,21
2004,6,21
2004,7,26
2004,8,24
2004,9,22
2004,10,26
2004,11,28
2004,12,35
2005,1,25
2005,2,27
2005,3,29
2005,4,28
2005,5,26
2005,6,20
2005,7,21
2005,8,22
2005,9,23
2005,10,29
2005,11,25
2005,12,36
2006,1,32
2006,2,25
2006,3,26
2006,4,27
2006,5,24
2006,6,19
2006,7,24
2006,8,22
2006,9,21
2006,10,28
2006,11,30
2006,12,25
2007,1,26
2007,2,28
2007,3,25
2007,4,25
2007,5,27
2007,6,23
2007,7,22
2007,8,20
2007,9,25
2007,10,22
2007,11,27
2007,12,28
2008,1,25
2008,2,25
2008,3,27
2008,4,26
2008,5,25
2008,6,20
2008,7,20
2008,8,19
2008,9,26
2008,10,22
2008,11,23
2008,12,31
2009,1,27
2009,2,28
2009,3,24
2009,4,21
2009,5,20
2009,6,22
2009,7,20
2009,8,25
2009,9,22
2009,10,21
2009,11,25
2009,12,28
2010,1,28
2010,2,24
2010,3,22
2010,4,21
2010,5,19
2010,6,15
2010,7,20
2010,8,23
2010,9,25
2010,10,27
2010,11,24
2010,12,27
2011,1,23
2011,2,25
2011,3,23
2011,4,24
2011,5,21
2011,6,22
2011,7,18
2011,8,23
2011,9,22
2011,10,18
2011,11,23
2011,12,27
2012,1,19
2012,2,21
2012,3,25
2012,4,23
2012,5,21
2012,6,18
2012,7,24
2012,8,18
2012,9,20
2012,10,24
2012,11,21
2012,12,24
2013,1,22
2013,2,22
2013,3,18
2013,4,22
2013,5,17
2013,6,19
2013,7,18
2013,8,16
2013,9,22
2013,10,22
2013,11,26
2013,12,25
2014,1,28
2014,2,23
2014,3,20
2014,4,18
2014,5,19
2014,6,18
2014,7,20
2014,8,20
2014,9,21
2014,10,19
2014,11,18
2014,12,21
2015,1,21
2015,2,18
2015,3,20
2015,4,18
2015,5,17
2015,6,17
2015,7,22
2015,8,18
2015,9,18
2015,10,17
2015,11,24
2015,12,24
2016,1,21
2016,2,18
2016,3,23
2016,4,17
2016,5,18
2016,6,18
2016,7,17
2016,8,13
2016,9,16
2016,10,20
2016,11,20
2016,12,24
2017,1,22
2017,2,19
2017,3,20
2017,4,22
2017,5,19
2017,6,15
2017,7,15
2017,8,17
2017,9,19
2017,10,14
2017,11,19
2017,12,18
2018,1,17
2018,2,16
2018,3,18
2018,4,18
2018,5,17
2018,6,17
2018,7,15
2018,8,16
2018,9,18
2018,10,21
2018,11,17
2018,12,18
2019,1,19
2019,2,17
2019,3,18
2019,4,15
2019,5,14
2019,6,16
2019,7,15
2019,8,15
2019,9,16
2019,10,20
2019,11,17
2019,12,20
2020,1,20
2020,2,17
2020,3,14
2020,4,17
2020,5,16
2020,6,15
2020,7,14
2020,8,16
2020,9,14
2020,10,15
2020,11,19
2020,12,19
2021,1,18
2021,2,18
2021,3,14
2021,4,17
2021,5,17
2021,6,13
2021,7,16
2021,8,17
2021,9,16
2021,10,18
2021,11,16
2021,12,18
2022,1,18
2022,2,16
2022,3,18
2022,4,17
2022,5,14
2022,6,15
2022,7,14
2022,8,13
2022,9,18
2022,10,18
2022,11,15
2022,12,21
