Year,Month,Cases
1990,1,167942
1990,2,130463
1990,3,141992
1990,4,150969
1990,5,184059
1990,6,148166
1990,7,172225
1990,8,151788
1990,9,156479
1990,10,126027
1990,11,115342
1990,12,135258
1991,1,173212
1991,2,143581
1991,3,151337
1991,4,138390
1991,5,166106
1991,6,165089
1991,7,183854
1991,8,165567
1991,9,152198
1991,10,120757
1991,11,120405
1991,12,125455
1992,1,117774
1992,2,156432
1992,3,142271
1992,4,145385
1992,5,204028
1992,6,193611
1992,7,155027
1992,8,153515
1992,9,110928
1992,10,149916
1992,11,136597
1992,12,152998
1993,1,172313
1993,2,138893
1993,3,137756
1993,4,147093
1993,5,179085
1993,6,172163
1993,7,152968
1993,8,167692
1993,9,133792
1993,10,130949
1993,11,141332
1993,12,146987
1994,1,137627
1994,2,137589
1994,3,154859
1994,4,169303
1994,5,169547
1994,6,189080
1994,7,169485
1994,8,148274
1994,9,140411
1994,10,134218
1994,11,110344
1994,12,155519
1995,1,145442
1995,2,161267
1995,3,133700
1995,4,161769
1995,5,196806
1995,6,182309
1995,7,170094
1995,8,130560
1995,9,144048
1995,10,105048
1995,11,132187
1995,12,143570
1996,1,167190
1996,2,138099
1996,3,163768
1996,4,145512
1996,5,139920
1996,6,167478
1996,7,141501
1996,8,157579
1996,9,145965
1996,10,127035
1996,11,138898
1996,12,133777
1997,1,137123
1997,2,116123
1997,3,141196
1997,4,151320
1997,5,168914
1997,6,138051
1997,7,185984
1997,8,153480
1997,9,137151
1997,10,110638
1997,11,114935
1997,12,131633
1998,1,140729
1998,2,149880
1998,3,105868
1998,4,124114
1998,5,147890
1998,6,168990
1998,7,124088
1998,8,132336
1998,9,135975
1998,10,121280
1998,11,116163
1998,12,125644
1999,1,118492
1999,2,134035
1999,3,105438
1999,4,124014
1999,5,132137
1999,6,144669
1999,7,141259
1999,8,135350
1999,9,124462
1999,10,99135
1999,11,134245
1999,12,119429
2000,1,114384
2000,2,109362
2000,3,129400
2000,4,135241
2000,5,144588
2000,6,138437
2000,7,133666
2000,8,113326
2000,9,108136
2000,10,127290
2000,11,110887
2000,12,107589
2001,1,117589
2001,2,120232
2001,3,98598
2001,4,115794
2001,5,144450
2001,6,159885
2001,7,119010
2001,8,134903
2001,9,116056
2001,10,119793
2001,11,120299
2001,12,98994
2002,1,138829
2002,2,124552
2002,3,129523
2002,4,130126
2002,5,124444
2002,6,132558
2002,7,108581
2002,8,123679
2002,9,127534
2002,10,122220
2002,11,110668
2002,12,93285
2003,1,118531
2003,2,101203
2003,3,98781
2003,4,125143
2003,5,127277
2003,6,142361
2003,7,140540
2003,8,134493
2003,9,147555
2003,10,94042
2003,11,121901
2003,12,118991
2004,1,136308
2004,2,125884
2004,3,95646
2004,4,121625
2004,5,143889
2004,6,164119
2004,7,119971
2004,8,139005
2004,9,112036
2004,10,93092
2004,11,114505
2004,12,111267
2005,1,146860
2005,2,118097
2005,3,131634
2005,4,134066
2005,5,127704
2005,6,125349
2005,7,134457
2005,8,129767
2005,9,107542
2005,10,107003
2005,11,103672
2005,12,116627
2006,1,120979
2006,2,138310
2006,3,122839
2006,4,116814
2006,5,149004
2006,6,134551
2006,7,120453
2006,8,124645
2006,9,132093
2006,10,108298
2006,11,115747
2006,12,111712
2007,1,123441
2007,2,117673
2007,3,117644
2007,4,125881
2007,5,151086
2007,6,131970
2007,7,129871
2007,8,131550
2007,9,116694
2007,10,136355
2007,11,107196
2007,12,130870
2008,1,118816
2008,2,137236
2008,3,126582
2008,4,137429
2008,5,155515
2008,6,139731
2008,7,138624
2008,8,140042
2008,9,112773
2008,10,98739
2008,11,124745
2008,12,118813
2009,1,124834
2009,2,144151
2009,3,115154
2009,4,131910
2009,5,150805
2009,6,143535
2009,7,138949
2009,8,141344
2009,9,140035
2009,10,102718
2009,11,135093
2009,12,105253
2010,1,130582
2010,2,128251
2010,3,155059
2010,4,126231
2010,5,159057
2010,6,165512
2010,7,146041
2010,8,147788
2010,9,97551
2010,10,118693
2010,11,106204
2010,12,105431
2011,1,165387
2011,2,121837
2011,3,135180
2011,4,138210
