,Year,Cases,Deaths,Entity,Code,Disease
0,1950,625,,India,IND,Cholera
1,1951,86787,,India,IND,Cholera
2,1952,101493,,India,IND,Cholera
3,1953,213225,,India,IND,Cholera
4,1954,22146,,India,IND,Cholera
5,1955,23533,,India,IND,Cholera
6,1956,39829,,India,IND,Cholera
7,1957,54961,,India,IND,Cholera
8,1958,66849,,India,IND,Cholera
9,1959,14852,,India,IND,Cholera
10,1960,14621,,India,IND,Cholera
11,1961,47637,,India,IND,Cholera
12,1962,51082,,India,IND,Cholera
13,1963,44839,,India,IND,Cholera
14,1964,53011,,India,IND,Cholera
15,1965,42677,,India,IND,Cholera
16,1966,13052,,India,IND,Cholera
17,1967,13708,,India,IND,Cholera
18,1968,22587,,India,IND,Cholera
19,1969,19280,,India,IND,Cholera
20,1970,15067,,India,IND,Cholera
21,1971,71386,,India,IND,Cholera
22,1972,20435,,India,IND,Cholera
23,1973,41611,,India,IND,Cholera
24,1974,30903,,India,IND,Cholera
25,1975,22049,,India,IND,Cholera
26,1976,14946,,India,IND,Cholera
27,1977,8376,,India,IND,Cholera
28,1978,10585,,India,IND,Cholera
29,1979,5073,,India,IND,Cholera
30,1980,8344,,India,IND,Cholera
31,1981,4681,,India,IND,Cholera
32,1982,4656,,India,IND,Cholera
33,1983,8542,,India,IND,Cholera
34,1984,2527,,India,IND,Cholera
35,1985,5808,,India,IND,Cholera
36,1986,4208,,India,IND,Cholera
37,1987,11934,,India,IND,Cholera
38,1988,17162,,India,IND,Cholera
39,1989,5640,,India,IND,Cholera
40,1990,3583,,India,IND,Cholera
41,1991,6993,,India,IND,Cholera
42,1992,6911,,India,IND,Cholera
43,1993,12084,,India,IND,Cholera
44,1994,4973,,India,IND,Cholera
45,1995,3315,,India,IND,Cholera
46,1996,4396,,India,IND,Cholera
47,1997,2768,,India,IND,Cholera
48,1998,7151,,India,IND,Cholera
49,1999,3839,,India,IND,Cholera
50,2000,4053,,India,IND,Cholera
51,2001,4081,,India,IND,Cholera
52,2002,3455,,India,IND,Cholera
53,2003,2893,,India,IND,Cholera
54,2004,4695,,India,IND,Cholera
55,2005,3155,,India,IND,Cholera
56,2006,1939,,India,IND,Cholera
57,2007,2635,,India,IND,Cholera
58,2008,2680,,India,IND,Cholera
59,2010,5155,,India,IND,Cholera
60,2013,6008,,India,IND,Cholera
61,2014,4031,,India,IND,Cholera
62,2015,889,,India,IND,Cholera
63,2016,841,,India,IND,Cholera
64,2017,385,,India,IND,Cholera
65,2018,697,,India,IND,Cholera
66,2020,70,,India,IND,Cholera
