,Year,Cases,Deaths,Entity,Code,Disease
0,1990,16443576.0,,India,IND,Dengue
1,1991,16832000.0,,India,IND,Dengue
2,1992,17233150.0,,India,IND,Dengue
3,1993,17642876.0,,India,IND,Dengue
4,1994,18055294.0,,India,IND,Dengue
5,1995,18462236.0,,India,IND,Dengue
6,1996,18899568.0,,India,IND,Dengue
7,1997,19390476.0,,India,IND,Dengue
8,1998,19904084.0,,India,IND,Dengue
9,1999,20415126.0,,India,IND,Dengue
10,2000,20895298.0,,India,IND,Dengue
11,2001,21378392.0,,India,IND,Dengue
12,2002,21904500.0,,India,IND,Dengue
13,2003,22458682.0,,India,IND,Dengue
14,2004,23020416.0,,India,IND,Dengue
15,2005,23558734.0,,India,IND,Dengue
16,2006,24073778.0,,India,IND,Dengue
17,2007,24577736.0,,India,IND,Dengue
18,2008,25057498.0,,India,IND,Dengue
19,2009,25500342.0,,India,IND,Dengue
20,2010,25889394.0,,India,IND,Dengue
21,2011,26186686.0,,India,IND,Dengue
22,2012,26395152.0,,India,IND,Dengue
23,2013,26559514.0,,India,IND,Dengue
24,2014,26724914.0,,India,IND,Dengue
25,2015,26937548.0,,India,IND,Dengue
26,2016,27314868.0,,India,IND,Dengue
27,2017,27690336.0,,India,IND,Dengue
28,2018,27896616.0,,India,IND,Dengue
29,2019,27991970.0,,India,IND,Dengue
