,Year,Cases,Deaths,Entity,Code,Disease
0,2000,,1233147.0,India,IND,Diarrhea
1,2001,,1197202.0,India,IND,Diarrhea
2,2002,,1172760.0,India,IND,Diarrhea
3,2003,,1126296.0,India,IND,Diarrhea
4,2004,,1053842.0,India,IND,Diarrhea
5,2005,,1028846.0,India,IND,Diarrhea
6,2006,,1008273.0,India,IND,Diarrhea
7,2007,,1002052.0,India,IND,Diarrhea
8,2008,,984046.1,India,IND,Diarrhea
9,2009,,913215.1,India,IND,Diarrhea
10,2010,,885774.1,India,IND,Diarrhea
11,2011,,880135.2,India,IND,Diarrhea
12,2012,,837737.5,India,IND,Diarrhea
13,2013,,810350.3,India,IND,Diarrhea
14,2014,,757365.8,India,IND,Diarrhea
15,2015,,728104.9,India,IND,Diarrhea
16,2016,,708811.4,India,IND,Diarrhea
17,2017,,704606.4,India,IND,Diarrhea
18,2018,,687417.5,India,IND,Diarrhea
19,2019,,670314.5,India,IND,Diarrhea
