,Year,Cases,Deaths,Entity,Code,Disease
0,2020,10187850.0,147622.0,India,IND,Covid-19
1,2021,24598952.0,332060.0,India,IND,Covid-19
2,2022,9890304.0,51011.0,India,IND,Covid-19
3,2023,336066.0,2668.0,India,IND,Covid-19
4,2024,12967.0,93.0,India,IND,Covid-19
5,1950,625.0,,India,IND,Cholera
6,1951,86787.0,,India,IND,Cholera
7,1952,101493.0,,India,IND,Cholera
8,1953,213225.0,,India,IND,Cholera
9,1954,22146.0,,India,IND,Cholera
10,1955,23533.0,,India,IND,Cholera
11,1956,39829.0,,India,IND,Cholera
12,1957,54961.0,,India,IND,Cholera
13,1958,66849.0,,India,IND,Cholera
14,1959,14852.0,,India,IND,Cholera
15,1960,14621.0,,India,IND,Cholera
16,1961,47637.0,,India,IND,Cholera
17,1962,51082.0,,India,IND,Cholera
18,1963,44839.0,,India,IND,Cholera
19,1964,53011.0,,India,IND,Cholera
20,1965,42677.0,,India,IND,Cholera
21,1966,13052.0,,India,IND,Cholera
22,1967,13708.0,,India,IND,Cholera
23,1968,22587.0,,India,IND,Cholera
24,1969,19280.0,,India,IND,Cholera
25,1970,15067.0,,India,IND,Cholera
26,1971,71386.0,,India,IND,Cholera
27,1972,20435.0,,India,IND,Cholera
28,1973,41611.0,,India,IND,Cholera
29,1974,30903.0,,India,IND,Cholera
30,1975,22049.0,,India,IND,Cholera
31,1976,14946.0,,India,IND,Cholera
32,1977,8376.0,,India,IND,Cholera
33,1978,10585.0,,India,IND,Cholera
34,1979,5073.0,,India,IND,Cholera
35,1980,8344.0,,India,IND,Cholera
36,1981,4681.0,,India,IND,Cholera
37,1982,4656.0,,India,IND,Cholera
38,1983,8542.0,,India,IND,Cholera
39,1984,2527.0,,India,IND,Cholera
40,1985,5808.0,,India,IND,Cholera
41,1986,4208.0,,India,IND,Cholera
42,1987,11934.0,,India,IND,Cholera
43,1988,17162.0,,India,IND,Cholera
44,1989,5640.0,,India,IND,Cholera
45,1990,3583.0,,India,IND,Cholera
46,1991,6993.0,,India,IND,Cholera
47,1992,6911.0,,India,IND,Cholera
48,1993,12084.0,,India,IND,Cholera
49,1994,4973.0,,India,IND,Cholera
50,1995,3315.0,,India,IND,Cholera
51,1996,4396.0,,India,IND,Cholera
52,1997,2768.0,,India,IND,Cholera
53,1998,7151.0,,India,IND,Cholera
54,1999,3839.0,,India,IND,Cholera
55,2000,4053.0,,India,IND,Cholera
56,2001,4081.0,,India,IND,Cholera
57,2002,3455.0,,India,IND,Cholera
58,2003,2893.0,,India,IND,Cholera
59,2004,4695.0,,India,IND,Cholera
60,2005,3155.0,,India,IND,Cholera
61,2006,1939.0,,India,IND,Cholera
62,2007,2635.0,,India,IND,Cholera
63,2008,2680.0,,India,IND,Cholera
64,2010,5155.0,,India,IND,Cholera
65,2013,6008.0,,India,IND,Cholera
66,2014,4031.0,,India,IND,Cholera
67,2015,889.0,,India,IND,Cholera
68,2016,841.0,,India,IND,Cholera
69,2017,385.0,,India,IND,Cholera
70,2018,697.0,,India,IND,Cholera
71,2020,70.0,,India,IND,Cholera
72,1990,,622828.0,India,IND,Pneumonia
73,1991,,611124.0,India,IND,Pneumonia
74,1992,,602047.0,India,IND,Pneumonia
75,1993,,582440.0,India,IND,Pneumonia
76,1994,,564780.0,India,IND,Pneumonia
77,1995,,553320.0,India,IND,Pneumonia
78,1996,,537847.0,India,IND,Pneumonia
79,1997,,530512.0,India,IND,Pneumonia
80,1998,,518342.0,India,IND,Pneumonia
81,1999,,502084.0,India,IND,Pneumonia
82,2000,,486848.0,India,IND,Pneumonia
83,2001,,469813.0,India,IND,Pneumonia
84,2002,,455106.0,India,IND,Pneumonia
85,2003,,442082.0,India,IND,Pneumonia
86,2004,,431041.0,India,IND,Pneumonia
