,Year,Cases,Deaths,Entity,Code,Disease
0,2009,10342.076851933532,,India,IND,Influenza
1,2010,12162.526316407324,,India,IND,Influenza
2,2011,4229.0509073608455,,India,IND,Influenza
3,2012,8750.124929881096,,India,IND,Influenza
4,2013,5618.494602411985,,India,IND,Influenza
5,2014,2971.8769222925107,,India,IND,Influenza
6,2015,10976.935760416587,,India,IND,Influenza
7,2016,932.7323292242157,,India,IND,Influenza
8,2017,8746.806693643994,,India,IND,Influenza
9,2018,8072.047879557146,,India,IND,Influenza
10,2019,30608.416565530497,,India,IND,Influenza
11,2020,3822.037888606555,,India,IND,Influenza
12,2021,48719.323065696924,,India,IND,Influenza
13,2022,24236.357440197145,,India,IND,Influenza
14,2023,18035.21865556654,,India,IND,Influenza
