,Year,Cases,Deaths,Entity,Code,Disease
0,1990,,622828,India,IND,Pneumonia
1,1991,,611124,India,IND,Pneumonia
2,1992,,602047,India,IND,Pneumonia
3,1993,,582440,India,IND,Pneumonia
4,1994,,564780,India,IND,Pneumonia
5,1995,,553320,India,IND,Pneumonia
6,1996,,537847,India,IND,Pneumonia
7,1997,,530512,India,IND,Pneumonia
8,1998,,518342,India,IND,Pneumonia
9,1999,,502084,India,IND,Pneumonia
10,2000,,486848,India,IND,Pneumonia
11,2001,,469813,India,IND,Pneumonia
12,2002,,455106,India,IND,Pneumonia
13,2003,,442082,India,IND,Pneumonia
14,2004,,431041,India,IND,Pneumonia
15,2005,,424142,India,IND,Pneumonia
16,2006,,412502,India,IND,Pneumonia
17,2007,,401554,India,IND,Pneumonia
18,2008,,392080,India,IND,Pneumonia
19,2009,,377402,India,IND,Pneumonia
20,2010,,366767,India,IND,Pneumonia
21,2011,,356255,India,IND,Pneumonia
22,2012,,347898,India,IND,Pneumonia
23,2013,,336635,India,IND,Pneumonia
24,2014,,316590,India,IND,Pneumonia
25,2015,,305287,India,IND,Pneumonia
26,2016,,279868,India,IND,Pneumonia
27,2017,,261343,India,IND,Pneumonia
28,2018,,254885,India,IND,Pneumonia
29,2019,,248444,India,IND,Pneumonia
