,Year,Cases,Deaths,Entity,Code,Disease
0,2000,322.0,,India,IND,Tuberculosis
1,2001,321.0,,India,IND,Tuberculosis
2,2002,320.0,,India,IND,Tuberculosis
3,2003,318.0,,India,IND,Tuberculosis
4,2004,315.0,,India,IND,Tuberculosis
5,2005,311.0,,India,IND,Tuberculosis
6,2006,305.0,,India,IND,Tuberculosis
7,2007,298.0,,India,IND,Tuberculosis
8,2008,291.0,,India,IND,Tuberculosis
9,2009,283.0,,India,IND,Tuberculosis
10,2010,276.0,,India,IND,Tuberculosis
11,2011,268.0,,India,IND,Tuberculosis
12,2012,258.0,,India,IND,Tuberculosis
13,2013,248.0,,India,IND,Tuberculosis
14,2014,243.0,,India,IND,Tuberculosis
15,2015,237.0,,India,IND,Tuberculosis
16,2016,225.0,,India,IND,Tuberculosis
17,2017,217.0,,India,IND,Tuberculosis
18,2018,208.0,,India,IND,Tuberculosis
19,2019,202.0,,India,IND,Tuberculosis
20,2020,197.0,,India,IND,Tuberculosis
21,2021,200.0,,India,IND,Tuberculosis
22,2022,199.0,,India,IND,Tuberculosis
