,Year,Cases,Deaths,Entity,Code,Disease
0,1990,1780709.13,,India,IND,Typhoid
1,1991,1805950.1099999999,,India,IND,Typhoid
2,1992,1818480.76,,India,IND,Typhoid
3,1993,1821023.6100000003,,India,IND,Typhoid
4,1994,1816255.04,,India,IND,Typhoid
5,1995,1806800.6199999999,,India,IND,Typhoid
6,1996,1766723.4299999997,,India,IND,Typhoid
7,1997,1686548.2399999998,,India,IND,Typhoid
8,1998,1592955.9,,India,IND,Typhoid
9,1999,1512665.71,,India,IND,Typhoid
10,2000,1472306.04,,India,IND,Typhoid
11,2001,1465604.21,,India,IND,Typhoid
12,2002,1465999.085,,India,IND,Typhoid
13,2003,1470819.206,,India,IND,Typhoid
14,2004,1477348.04,,India,IND,Typhoid
15,2005,1482779.35,,India,IND,Typhoid
16,2006,1495444.0760000001,,India,IND,Typhoid
17,2007,1520231.1400000001,,India,IND,Typhoid
18,2008,1549043.08,,India,IND,Typhoid
19,2009,1573782.1999999997,,India,IND,Typhoid
20,2010,1586398.88,,India,IND,Typhoid
21,2011,1591104.06,,India,IND,Typhoid
22,2012,1595808.73,,India,IND,Typhoid
23,2013,1597964.136,,India,IND,Typhoid
24,2014,1595233.79,,India,IND,Typhoid
25,2015,1585488.72,,India,IND,Typhoid
26,2016,1497966.136,,India,IND,Typhoid
27,2017,1406792.38,,India,IND,Typhoid
28,2018,1391715.2999999998,,India,IND,Typhoid
29,2019,1403489.76,,India,IND,Typhoid
