,Year,Cases,Deaths,Entity,Code,Disease
0,1990,,8220337.000000001,India,IND,Unsafe-Sanitation
1,1991,,8225548.999999999,India,IND,Unsafe-Sanitation
2,1992,,8228988.0,India,IND,Unsafe-Sanitation
3,1993,,7751865.399999999,India,IND,Unsafe-Sanitation
4,1994,,7240188.000000001,India,IND,Unsafe-Sanitation
5,1995,,6932178.999999999,India,IND,Unsafe-Sanitation
6,1996,,6621020.5,India,IND,Unsafe-Sanitation
7,1997,,6469270.0,India,IND,Unsafe-Sanitation
8,1998,,6295498.0,India,IND,Unsafe-Sanitation
9,1999,,6088947.3,India,IND,Unsafe-Sanitation
10,2000,,5847903.399999999,India,IND,Unsafe-Sanitation
11,2001,,5551885.2,India,IND,Unsafe-Sanitation
12,2002,,5251138.0,India,IND,Unsafe-Sanitation
13,2003,,4968361.7,India,IND,Unsafe-Sanitation
14,2004,,4652587.0,India,IND,Unsafe-Sanitation
15,2005,,4510136.8,India,IND,Unsafe-Sanitation
16,2006,,4415000.5,India,IND,Unsafe-Sanitation
17,2007,,4313726.4,India,IND,Unsafe-Sanitation
18,2008,,4218554.0,India,IND,Unsafe-Sanitation
19,2009,,3919057.0,India,IND,Unsafe-Sanitation
20,2010,,3770856.5,India,IND,Unsafe-Sanitation
21,2011,,3714608.4000000004,India,IND,Unsafe-Sanitation
22,2012,,3481780.2,India,IND,Unsafe-Sanitation
23,2013,,3285102.0,India,IND,Unsafe-Sanitation
24,2014,,3003914.6,India,IND,Unsafe-Sanitation
25,2015,,2782769.1999999997,India,IND,Unsafe-Sanitation
26,2016,,2566671.8,India,IND,Unsafe-Sanitation
27,2017,,2464588.5,India,IND,Unsafe-Sanitation
28,2018,,2283289.0,India,IND,Unsafe-Sanitation
29,2019,,2093199.9999999998,India,IND,Unsafe-Sanitation
