code,name,symptoms
105,Panic disorder,"{'Anxiety and nervousness': '88', 'Depression': '55', 'Shortness of breath': '40', 'Depressive or psychotic symptoms': '33', 'Sharp chest pain': '33', 'Dizziness': '24', 'Insomnia': '18', 'Abnormal involuntary movements': '16', 'Chest tightness': '14', 'Palpitations': '13', 'Irregular heartbeat': '11', 'Breathing fast': '10'}"
106,Vocal cord polyp,"{'Hoarse voice': '91', 'Sore throat': '47', 'Difficulty speaking': '27', 'Cough': '27', 'Nasal congestion': '27', 'Throat swelling': '19', 'Diminished hearing': '19', 'Lump in throat': '19', 'Throat feels tight': '11', 'Difficulty in swallowing': '11', 'Skin swelling': '11', 'Retention of urine': '11'}"
107,Turner syndrome,"{'Groin mass': '27', 'Leg pain': '27', 'Hip pain': '27', 'Suprapubic pain': '27', 'Blood in stool': '27', 'Lack of growth': '27', 'Diminished hearing': '27', 'Depression': '27', 'Emotional symptoms': '2', 'Elbow weakness': '2', 'Back weakness': '2', 'Pus in sputum': '2'}"
108,Cryptorchidism,"{'Symptoms of the scrotum and testes': '50', 'Swelling of scrotum': '16', 'Pain in testicles': '9', 'Flatulence': '9', 'Pus draining from ear': '9', 'Jaundice': '9', 'Mass in scrotum': '9', 'Lack of growth': '9', 'White discharge from eye': '9', 'Irritable infant': '9'}"
109,Poisoning due to ethylene glycol,"{'Abusing alcohol': '78', 'Fainting': '64', 'Hostile behavior': '45', 'Drug abuse': '45', 'Depressive or psychotic symptoms': '45', 'Sharp abdominal pain': '29', 'Feeling ill': '29', 'Vomiting': '29', 'Headache': '29', 'Depression': '29', 'Nausea': '29', 'Diarrhea': '29'}"
110,Atrophic vaginitis,"{'Vaginal itching': '45', 'Vaginal dryness': '45', 'Painful urination': '40', 'Involuntary urination': '36', 'Pain during intercourse': '31', 'Frequent urination': '25', 'Lower abdominal pain': '22', 'Suprapubic pain': '22', 'Vaginal discharge': '18', 'Blood in urine': '14', 'Hot flashes': '14', 'Intermenstrual bleeding': '14'}"
111,Fracture of the hand,"{'Hand or finger pain': '71', 'Wrist pain': '67', 'Hand or finger swelling': '39', 'Arm pain': '23', 'Wrist swelling': '12', 'Arm stiffness or tightness': '4', 'Arm swelling': '4', 'Hand or finger stiffness or tightness': '3', 'Wrist stiffness or tightness': '2'}"
112,Cellulitis or abscess of mouth,"{'Lip swelling': '87', 'Sore throat': '42', 'Toothache': '40', 'Abnormal appearing skin': '26', 'Skin lesion': '26', 'Difficulty in swallowing': '23', 'Acne or pimples': '19', 'Dry lips': '19', 'Facial pain': '19', 'Mouth ulcer': '19', 'Throat swelling': '19', 'Skin growth': '15'}"
25,Eye alignment disorder,"{'Eye deviation': '41', 'Diminished vision': '39', 'Double vision': '36', 'Cross-eyed': '35', 'Symptoms of eye': '28', 'Pain in eye': '14', 'Eye moves abnormally': '11', 'Abnormal movement of eyelid': '6', 'Foreign body sensation in eye': '6', 'Lack of growth': '6', 'Irregular appearing scalp': '3', 'Swollen lymph nodes': '3'}"
26,Headache after lumbar puncture,"{'Headache': '98', 'Nausea': '65', 'Back pain': '65', 'Vomiting': '56', 'Dizziness': '47', 'Neck pain': '34', 'Low back pain': '25', 'Pain of the anus': '14', 'Pain during pregnancy': '14', 'Painful urination': '14', 'Pelvic pain': '14', 'Impotence': '14'}"
27,Pyloric stenosis,"{'Vomiting': '84', 'Sharp abdominal pain': '35', 'Infant spitting up': '35', 'Vomiting blood': '35', 'Cough': '35', 'Arm stiffness or tightness': '21', 'Regurgitation': '21', 'Burning abdominal pain': '21', 'Restlessness': '21', 'Pain during pregnancy': '21', 'Symptoms of infants': '21', 'Wheezing': '21'}"
28,Salivary gland disorder,"{'Sore throat': '44', 'Peripheral edema': '44', 'Neck mass': '35', 'Ear pain': '35', 'Swollen lymph nodes': '35', 'Throat feels tight': '30', 'Facial pain': '30', 'Skin swelling': '24', 'Jaw swelling': '24', 'Cough': '24', 'Mouth dryness': '24', 'Neck swelling': '24'}"
29,Osteochondrosis,"{'Knee pain': '84', 'Foot or toe pain': '68', 'Bowlegged or knock-kneed': '40', 'Ankle pain': '35', 'Bones are painful': '21', 'Knee weakness': '21', 'Hand or finger pain': '21', 'Elbow pain': '12', 'Knee swelling': '12', 'Skin moles': '12', 'Knee lump or mass': '12', 'Weight gain': '12'}"
30,Injury to the knee,"{'Knee pain': '94', 'Knee swelling': '30', 'Leg pain': '30', 'Problems with movement': '19', 'Knee stiffness or tightness': '11', 'Leg swelling': '11', 'Knee weakness': '11', 'Foot or toe swelling': '6', 'Heartburn': '6', 'Smoking problems': '6'}"
31,Metabolic disorder,"{'Weight gain': '18', 'Jaundice': '4', 'Mouth dryness': '4', 'Muscle pain': '4', 'Smoking problems': '3', 'Infant feeding problem': '1', 'Recent weight loss': '1', 'Problems with shape or size of breast': '1', 'Arm stiffness or tightness': '1', 'Underweight': '1', 'Difficulty eating': '1', 'Scanty menstrual flow': '1'}"
32,Vaginitis,"{'Vaginal discharge': '78', 'Vaginal itching': '59', 'Sharp abdominal pain': '49', 'Painful urination': '40', 'Vaginal pain': '29', 'Lower abdominal pain': '26', 'Pelvic pain': '23', 'Vaginal redness': '19', 'Suprapubic pain': '16', 'Pain during pregnancy': '12', 'Vulvar irritation': '10', 'Pain during intercourse': '10'}"
33,Sick sinus syndrome,"{'Dizziness': '37', 'Sharp chest pain': '35', 'Shortness of breath': '35', 'Palpitations': '33', 'Fainting': '26', 'Weakness': '23', 'Irregular heartbeat': '12', 'Decreased heart rate': '8', 'Increased heart rate': '4', 'Bleeding or discharge from nipple': '4'}"
34,Tinnitus of unknown cause,"{'Ringing in ear': '91', 'Diminished hearing': '69', 'Dizziness': '60', 'Ear pain': '41', 'Headache': '37', 'Plugged feeling in ear': '34', 'Itchy ear(s)': '9', 'Frontal headache': '9', 'Symptoms of eye': '6', 'Hoarse voice': '6', 'Fluid in ear': '6', 'Neck stiffness or tightness': '6'}"
35,Glaucoma,"{'Diminished vision': '46', 'Pain in eye': '32', 'Symptoms of eye': '26', 'Spots or clouds in vision': '19', 'Eye redness': '16', 'Lacrimation': '13', 'Itchiness of eye': '8', 'Blindness': '8', 'Eye burns or stings': '5', 'Foreign body sensation in eye': '5', 'Itchy eyelid': '1', 'Feeling cold': '1'}"
36,Eating disorder,"{'Depression': '63', 'Anxiety and nervousness': '51', 'Depressive or psychotic symptoms': '43', 'Decreased appetite': '41', 'Abusing alcohol': '24', 'Excessive appetite': '24', 'Difficulty eating': '20', 'Weight gain': '17', 'Excessive anger': '13', 'Insomnia': '13', 'Vomiting blood': '9', 'Acne or pimples': '9'}"
37,Transient ischemic attack,"{'Loss of sensation': '62', 'Dizziness': '53', 'Headache': '51', 'Weakness': '46', 'Focal weakness': '40', 'Slurring words': '40', 'Difficulty speaking': '33', 'Symptoms of the face': '31', 'Depressive or psychotic symptoms': '29', 'Diminished vision': '29', 'Disturbance of memory': '25', 'Paresthesia': '24'}"
38,Pyelonephritis,"{'Side pain': '75', 'Fever': '70', 'Sharp abdominal pain': '70', 'Back pain': '68', 'Vomiting': '57', 'Nausea': '56', 'Painful urination': '52', 'Low back pain': '40', 'Lower abdominal pain': '32', 'Blood in urine': '30', 'Suprapubic pain': '29', 'Frequent urination': '28'}"
39,Rotator cuff injury,"{'Shoulder pain': '94', 'Arm pain': '31', 'Shoulder stiffness or tightness': '18', 'Shoulder weakness': '9', 'Arm cramps or spasms': '4', 'Arm stiffness or tightness': '4', 'Neck stiffness or tightness': '4', 'Hand or finger stiffness or tightness': '2', 'Shoulder swelling': '2', 'Tongue lesions': '2', 'Leg cramps or spasms': '2', 'Abnormal appearing tongue': '2'}"
40,Chronic pain disorder,"{'Back pain': '76', 'Low back pain': '63', 'Ache all over': '48', 'Leg pain': '41', 'Neck pain': '41', 'Headache': '37', 'Sharp abdominal pain': '34', 'Shoulder pain': '28', 'Knee pain': '26', 'Hip pain': '23', 'Pelvic pain': '8', 'Lower body pain': '8'}"
41,Problem during pregnancy,"{'Sharp abdominal pain': '76', 'Pain during pregnancy': '75', 'Problems during pregnancy': '49', 'Lower abdominal pain': '39', 'Spotting or bleeding during pregnancy': '36', 'Nausea': '32', 'Headache': '31', 'Back pain': '30', 'Vomiting': '28', 'Burning abdominal pain': '27', 'Pelvic pain': '27', 'Cramps and spasms': '21'}"
42,Liver cancer,"{'Sharp abdominal pain': '33', 'Upper abdominal pain': '31', 'Stomach bloating': '13', 'Changes in stool appearance': '9', 'Decreased appetite': '9', 'Unusual color or odor to urine': '5', 'Increased heart rate': '5', 'Kidney mass': '5', 'Swollen abdomen': '5', 'Symptoms of prostate': '5', 'Leg stiffness or tightness': '5', 'Groin mass': '5'}"
43,Atelectasis,"{'Cough': '64', 'Shortness of breath': '61', 'Sharp chest pain': '53', 'Fever': '42', 'Nasal congestion': '42', 'Dizziness': '42', 'Sore throat': '35', 'Sharp abdominal pain': '35', 'Difficulty breathing': '26', 'Rib pain': '26', 'Ache all over': '26', 'Headache': '26'}"
44,Injury to the hand,"{'Hand or finger pain': '82', 'Hand or finger swelling': '47', 'Wrist pain': '34', 'Hand or finger stiffness or tightness': '27', 'Joint pain': '15', 'Skin growth': '12', 'Muscle stiffness or tightness': '4', 'Pallor': '4', 'Focal weakness': '4', 'Symptoms of the face': '4', 'Wrist swelling': '4', 'Hand or finger lump or mass': '4'}"
45,Choledocholithiasis,"{'Sharp abdominal pain': '83', 'Upper abdominal pain': '59', 'Vomiting': '57', 'Nausea': '52', 'Sharp chest pain': '42', 'Back pain': '29', 'Diarrhea': '29', 'Jaundice': '29', 'Side pain': '23', 'Chills': '17', 'Unusual color or odor to urine': '9', 'Decreased appetite': '9'}"
46,Injury to the hip,"{'Hip pain': '84', 'Leg pain': '45', 'Neck pain': '28', 'Groin pain': '28', 'Lower body pain': '17', 'Hand or finger swelling': '17', 'Peripheral edema': '17', 'Leg swelling': '17', 'Problems with movement': '17'}"
47,Cirrhosis,"{'Sharp abdominal pain': '39', 'Shortness of breath': '30', 'Peripheral edema': '24', 'Fatigue': '20', 'Upper abdominal pain': '20', 'Abdominal distention': '16', 'Stomach bloating': '10', 'Blood in stool': '10', 'Regurgitation': '8', 'Symptoms of the kidneys': '5', 'Vomiting blood': '5', 'Melena': '5'}"
48,Thoracic aortic aneurysm,"{'Sharp chest pain': '68', 'Dizziness': '42', 'Back pain': '38', 'Shortness of breath': '38', 'Sharp abdominal pain': '29', 'Fatigue': '23', 'Chest tightness': '17', 'Unusual color or odor to urine': '9', 'Flushing': '9', 'Leg cramps or spasms': '9', 'Coughing up sputum': '9', 'Jaundice': '9'}"
49,Subdural hemorrhage,"{'Headache': '67', 'Dizziness': '36', 'Problems with movement': '36', 'Depressive or psychotic symptoms': '28', 'Seizures': '24', 'Vomiting': '24', 'Facial pain': '14', 'Disturbance of memory': '14', 'Irritable infant': '7', 'Abnormal movement of eyelid': '7', 'Hostile behavior': '7', 'Delusions or hallucinations': '7'}"
50,Congenital rubella,"{'Pain in eye': '91', 'Shoulder cramps or spasms': '91', 'Facial pain': '91', 'Ankle pain': '91', 'Wrist pain': '91', 'Pain during pregnancy': '91', 'Excessive anger': '91', 'Joint stiffness or tightness': '91', 'Pain or soreness of breast': '91', 'Knee lump or mass': '91', 'Fatigue': '91', 'Excessive urination at night': '91'}"
51,Diabetic retinopathy,"{'Diminished vision': '71', 'Spots or clouds in vision': '33', 'Pain in eye': '25', 'Lacrimation': '22', 'Symptoms of eye': '21', 'Eye redness': '11', 'Foreign body sensation in eye': '11', 'Itchiness of eye': '8', 'Blindness': '7', 'Bleeding from eye': '7', 'Abnormal movement of eyelid': '7', 'Double vision': '4'}"
52,Fibromyalgia,"{'Back pain': '59', 'Ache all over': '54', 'Neck pain': '53', 'Muscle pain': '48', 'Leg pain': '44', 'Headache': '40', 'Shoulder pain': '39', 'Low back pain': '39', 'Sharp chest pain': '34', 'Arm pain': '26', 'Hip pain': '21', 'Fatigue': '21'}"
53,Ischemia of the bowel,"{'Sharp abdominal pain': '84', 'Vomiting': '62', 'Diarrhea': '62', 'Nausea': '49', 'Rectal bleeding': '49', 'Blood in stool': '43', 'Lower abdominal pain': '43', 'Constipation': '36', 'Melena': '27', 'Burning abdominal pain': '27', 'Chills': '16', 'Retention of urine': '16'}"
54,Fetal alcohol syndrome,"{'Excessive anger': '58', 'Temper problems': '58', 'Lack of growth': '40', 'Eye redness': '40', 'Depressive or psychotic symptoms': '40', 'Hostile behavior': '40', 'Smoking problems': '40', 'Seizures': '40', 'Coryza': '40', 'Wrist weakness': '3', 'Eye strain': '3', 'Emotional symptoms': '3'}"
55,Peritonitis,"{'Sharp abdominal pain': '87', 'Nausea': '56', 'Vomiting': '48', 'Back pain': '31', 'Fever': '31', 'Shortness of breath': '26', 'Lower abdominal pain': '26', 'Upper abdominal pain': '21', 'Side pain': '21', 'Groin mass': '15', 'Intermenstrual bleeding': '8', 'Groin pain': '8'}"
56,Injury to the abdomen,"{'Sharp abdominal pain': '68', 'Sharp chest pain': '59', 'Back pain': '45', 'Burning abdominal pain': '45', 'Upper abdominal pain': '45', 'Lower abdominal pain': '35', 'Leg pain': '35', 'Neck pain': '35', 'Pain during pregnancy': '35', 'Side pain': '35', 'Problems during pregnancy': '21', 'Blood in urine': '21'}"
